,Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Cost,Pop Cost,Training Time,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Total Damage,Attack Speed,Multiplier 1,Multiplier 2,Multiplier 3,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description,DPS,DPS (Crush),DPS Per Cost,DPS Per Pop,HP Per Cost,HP Per Pop,Hack HP Per Cost,Pierce HP Per Cost, Crush Damage, Divine Damage
236,,,,draugr,,,,225,,14,,2,14,320,20,Ranged Attack,1," MythUnit:  2.00,  Hero:  0.50",14,,5,,,,,,,,25,30,80,,3.8,,,,,,,,,,,2
237,,,,dwarf,,,,,60,,,1,18,55,16,Ranged Attack,2,,12,,12,,,,,,,,25,35,99,,3.8,,,,,,,,,,,
238,,,,fafnir,,,,,300,35,,5,12,1400,16,Ranged Attack,3," MythUnit:  2.00,  Hero:  0.50",4,12,,,,,,,,,65,70,80,,4.8,,,,,,,,,,8,
239,,,,fishing ship egyptian,,,,50,,,,1,18,100,20,None,,,,,,,,,,,,,60,50,5,,4.8,,,,,,,,,,,
240,,,,fishing ship greek,,,,50,,,,1,18,100,20,None,,,,,,,,,,,,,60,50,5,,4.8,,,,,,,,,,,
241,,,,fishing ship norse,,,,50,,,,1,18,100,20,None,,,,,,,,,,,,,60,50,5,,4.8,,,,,,,,,,,
242,,,,fishing ship,,,,50,,,,1,18,100,20,None,,,,,,,,,,,,,60,50,5,,4.8,,,,,,,,,,,
243,,,,gatherer,,,50,,,,,1,18,55,14,Ranged Attack,2,,12,,12,,,,,,,,25,35,99,,3.8,,,,,,,,,,,
244,,,,heracles (hero),,,75,,175,2,,3,20,325,16,Melee Attack,1.2, MythUnit:  8.00,0.75,12,,,,,,,,,25,30,99,,5,,,,,,,,,,,
245,,,,hero of ragnarok dwarf,,,80,,40,,,2,,130,16,Melee Attack,1.3," MythUnit:  4.00,  Building:  1.60",0.75,9,,,,,,,,,25,15,99,,4.3,,,,,,,,,,,
246,,,,hypaspist,,,60,,25,,,2,9,95,16,Melee Attack,1.2," AbstractInfantry:  5.00,  Building:  1.60",0.5,6,,,,,,,,,35,10,99,,4.3,,,,,,,,,,,
247,,,,jason (hero),,,100,50,,,,2,5,200,16,Melee Attack,1.5, MythUnit:  12.00,0.75,2.25,,,,,,,,,35,35,99,,4.3,,,,,,,,,,,
248,,,,llama caravan,,,100,25,,,,1,18,115,16,None,,,,,,,,,,,,,30,30,99,,3.8,,,,,,,,,,,
249,,,,man o' war,,,250,,,15,,4,10,900,16,None,,,,,,,,,,,,,50,70,80,,6,,,,,,,,,,,
250,,,,minion reincarnated,,,,,50,10,,0,,140,16,Melee Attack,0.9, Hero:  0.25,0.5,9,,,,,,,,,35,40,80,,4.75,,,,,,,,,,,
251,,,,minion,,,,,50,10,,0,,140,16,Melee Attack,0.9, Hero:  0.25,0.5,9,,,,,,,,,35,40,80,,4.75,,,,,,,,,,,
252,,,,nereid,,,,,200,15,,2,12,600,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,25,,,,,,,,,30,50,80,,5,,,,,,,,,,,
253,,,,oracle hero,,,30,,45,1,,1,12,105,3,Melee Attack,1.5, MythUnit:  6.00,0.5,0.9,,,,,,,,,20,50,99,,4.2,,,,,,,,,,,
254,,,,ox caravan,,,100,25,,,,1,18,115,16,None,,,,,,,,,,,,,30,30,99,,3.8,,,,,,,,,,,
255,,,,ox cart,,,50,50,,,,0,,120,6,None,,,,,,,,,,,,,30,40,99,,3.8,,,,,,,,,,,
256,,,,perseus (hero),,,,,400,6,,4,30,480,16,Melee Attack,1.5, MythUnit:  7.00,0.75,18,,,,,,,,,20,40,99,,4.3,,,,,,,,,,,9
257,,,,pharaoh new kingdom,,,,,,,,0,,100,16,Ranged Attack,1, MythUnit:  2.50,3,,12,,,,,,,,15,30,99,,4,,,,,,,,,,,
258,,,,Prodromos,,,70,,40,,,3,12,145,16,Melee Attack,1.3, AbstractCavalry:  3.50,1,8,,,,,,,,,20,10,99,,6,,,,,,,,,,,
259,,,,promethean offspring,,,45,,,4,,1,,80,12,Melee Attack,1.1," MythUnit:  1.50,  Hero:  0.50",0.5,6,,,,,,,,,15,35,80,,5.5,,,,,,,,,,3,
260,,,,ramming_galley,,,,90,45,,,3,16,320,16,Melee Attack,1.5,,2,25,,,,,,,,,30,10,50,,7,,,,,,,,,,,
261,,,,rock giant,,,,260,,24,,4,14,850,16,Melee Attack,3.5, Hero:  0.50,1,50,,,,,,,,,60,75,40,,3.2,,,,,,,,,,36,
262,,,,scorpion_man,,,,200,,24,,3,20,550,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.50",1,30,,,,,,,,,50,40,80,,5,,,,,,,,,,,
263,,,,servant,,,,,125,12,,2,15,300,16,Melee Attack,1," MythUnit:  3.00,  Hero:  0.50",0.5,8,,,,,,,,,25,30,80,,5.5,,,,,,,,,,4,
264,,,,son of osiris (hero),,,,,,,,0,,420,20,None,,,,,,,,,,,,,30,50,99,,3.6,,,,,,,,,,,
265,,,,theseus,,,100,50,,,,2,5,190,16,Melee Attack,1, MythUnit:  12.00,0.75,1.62,,,,,,,,,35,40,99,,4.3,,,,,,,,,,,
266,,,,throwing axeman,,,,50,40,,,2,15,65,16,Ranged Attack,1.5, AbstractInfantry:  3.00,11,6,,,,,,,,,30,15,99,,4,,,,,,,,,,,
267,,,,titan atlantean,,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,,,,,,,60,80,80,,3.75,,,,,,,,,,70,
268,,,,titan egyptian,,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,,,,,,,60,80,80,,3.75,,,,,,,,,,70,
269,,,,titan greek,,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,,,,,,,60,80,80,,3.75,,,,,,,,,,70,
270,,,,titan norse,,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,,,,,,,60,80,80,,3.75,,,,,,,,,,70,
271,,,,transport ship atlantean,,,,110,,,,1,19,180,14,None,,,,,,,,,,,,,40,80,5,,5.3,,,,,,,,,,,
272,,,,transport ship egyptian,,,,110,,,,1,19,180,14,None,,,,,,,,,,,,,40,80,5,,5.3,,,,,,,,,,,
273,,,,transport ship greek,,,,110,,,,1,19,180,14,None,,,,,,,,,,,,,40,80,5,,5.3,,,,,,,,,,,
274,,,,transport ship norse,,,,110,,,,1,19,180,14,None,,,,,,,,,,,,,40,80,5,,5.3,,,,,,,,,,,
275,,,,villager egyptian,,,50,,,,,1,18,55,14,Ranged Attack,2,,12,,12,,,,,,,,25,35,99,,3.8,,,,,,,,,,,
276,,,,villager greek,,,50,,,,,1,18,55,14,Ranged Attack,2,,12,,12,,,,,,,,25,35,99,,3.8,,,,,,,,,,,
