Name,Type,Sub_Type,Faction,Prefixes,Suffixes,Food_Cost,Wood_Cost,Gold_Cost,Favor_Cost,Pop_Cost,Training_Time,Buildpoints,Hitpoints,Line_of_Sight,Attack_Type,Rate_of_fire,Bonus_Multiplier,Maximum_range,Hack_Damage,Pierce_Damage,Divine_Damage,Crush_Damage,Hack_Armor,Pierce_Armor,Crush_Armor,Velocity,Focus,Description,God_Of
frontline heroics,tech,,,,,,,100,15,,40,,,,,,,,,,,,,,,,,"• Oceanus reduces the cost of promoting your infantry units
to heroes.
• Infantry Hero: Food cost -30%
• Infantry Hero: Gold cost -30%
",
funeral barge,tech,,,,,,,200,20,,30,,,,,,,,,,,,,,,,,"• Nephthys occasionally summons Leviathans to take the
place of War Barges that you lose in battle.
• War Barge: Spawn 1 Leviathan upon Death with 10.00%
chance
",
funeral rites,tech,,,,,,,100,15,,40,,,,,,,,,,,,,,,,,"• Nephthys compensates you with gold when your warriors
fall in combat.
• Human Soldier: Resources returned on death: 8 Gold
• Hero: Resources returned on death: 8 Gold
",
fury of the fallen,tech,,,,,,,176,30,,40,,,,,,,,,,,,,,,,,"• Vidar grants Berserks a temporary damage boost
whenever one of your military units falls in battle nearby.
• Death Boost: Nearby Berserk briefly gain +15% damage
(stacks).
",
gale's fury,tech,,,,,100,,,25,,40,,,,,,,,,,,,,,,,,"• Fdjin’s relentless winds cause cavalry to move and attack
faster.
• Cavalry: Speed +5%
• Cavalry: Melee Attack Attack Interval -10%
• Cavalry: Ranged Attack Attack Interval -10%
",
gemini,tech,,,,,,200,,15,,40,,,,,,,,,,,,,,,,,"• Hyperion increases Satyrs' damage and area of effect by
allowing them to throw more javelins.
• Satyr: Charged Ranged Attack Damage (All Types) +50%
",
gilded shields,tech,,,,,,,200,22,,30,,,,,,,,,,,,,,,,,"Swordsmen, greatly increasing their pierce armor.
• Dao Swordsman: Vulnerability to Pierce attacks -20%
",
gjallarhorn,tech,,,,,,,150,10,,30,,,,,,,,,,,,,,,,,"• Heimdall upgrades Einherjar to Giant-Killer Einherjar,
increasing their hitpoints and attack, and lengthening the
benefits of their special ability.
• Einheri: Melee Attack Damage (All Types) +25%
 Einheri: Hitpoints +10%
• Einheri: Adds 5.00 to Boost effect duration
",
gohei wands,tech,,,,,50,175,,,,30,,,,,,,,,,,,,,,,,"• Ame-no-Uzume improves Miko Favor gather rate, and
allows shrines to affect a wider area.
• Miko (Hero): Gather Work Rate for Shrine +10%
• Shrine: Adds 2.00 LOS
• Shrine: Adds 2.00 to Resource Contribution Area
Maximum Range
",
golden apples,tech,,,,,100,,75,,,30,,,,,,,,,,,,,,,,,"« Aphrodite causes Villagers to produce Favor from Temples
faster.
* Villager: Gather Work Rate for Temple +20%
",
golden kite,tech,,,,,,200,,25,,40,,,,,,,,,,,,,,,,,"• Hachiman increases archer and hero damage, especially
against myth units.
• Ranged Soldier: Ranged Attack Damage Bonus against
Myth Unit +25%
• Onmy®@ji (Hero): Ranged Attack Damage Bonus against
Myth Unit +25%
• Onna-musha (Hero): Charged Melee Attack Damage
Bonus against Myth Unit +25%
• Hero: Melee Attack Damage Bonus against Myth Unit
•25%
• Ranged Soldier: All Actions Damage (All Types) +15%
• Hero: All Actions Damage (All Types) +15%
",
gracious hospitality,tech,,,,,150,,275,22,,,,,,,,,,,,,,,,,,,"• Hestia's nurturing presence allows you to build additional
houses.
• House: Adds 2.00 Build Limit
",
granite blood,tech,,,,,,600,,30,,40,,,,,,,,,,,,,,,,,"• Hel upgrades Fire Giants to Sons of Muspell, with more
hitpoints, and also improves the hitpoints of all other
Giants.
• Mountain Giant: Hitpoints +20%
• Fire Giant: Hitpoints •40%
• Frost Giant: Hitpoints +40%
• Rock Giant: Hitpoints +20%
",
granite maw,tech,,,,,,136,,15,,40,,,,,,,,,,,,,,,,,"• Aegir upgrades Rock Giants to Bergrisar, whose insatiable
hunger allows them to regain hitpoints when attacking
enemy buildings and deal more damage.
• Rock Giant: Enables Melee Attack Action
• Rock Giant: All Actions Damage (All Types) +20%
",
grasp of ran,tech,,,,,,226,,20,,40,,,,,,,,,,,,,,,,,"• Aegir's wrath occasionally summons Krakens near enemy
ships that your Dragon Ships are attacking.
• Dragon Ship: Summons 1 Kraken for each 400 Damage
dealt to naval units
",
great wall,tech,,,,,800,,500,,,50,,,,,,,,,,,,,,,,,"• Upgrades Fortified Walls to Great Walls, with more
hitpoints.
• Wall: Hitpoints +100%
e Wall: Adds 2.00 LOS
",
greatest of fifty,tech,,,,,,,150,20,,40,,,,,,,,,,,,,,,,,"• Horus appoints military commanders, increasing infantry
hitpoints and speed.
• Infantry: Hitpoints +20%
• Infantry: Speed +10%
",
guard tower atlantean,tech,,,,,,300,300,,,40,,,,,,,,,,,,,,,,,"• Increases Tower hitpoints and attack.
• Sentry Tower: All Actions Damage (All Types) +50%
• Sentry Tower: Hitpoints +50%
• Military Camp: All Actions Damage (All Types) +50%
• Machine Workshop: All Actions Damage (All Types) +50%
",
guard tower chinese,tech,,,,,,300,300,,,40,,,,,,,,,,,,,,,,,"• Increases Tower hitpoints and attack.
• Sentry Tower: All Actions Damage (All Types) +50%
• Sentry Tower: Hitpoints +50%
• Military Camp: All Actions Damage (All Types) +50%
• Machine Workshop: All Actions Damage (All Types) +50%
",
guard tower egyptian,tech,,,,,,300,300,,,40,,,,,,,,,,,,,,,,,"• Increases Tower hitpoints and attack.
• Sentry Tower: All Actions Damage (All Types) +50%
• Sentry Tower: Hitpoints +50%
• Military Camp: All Actions Damage (All Types) +50%
• Machine Workshop: All Actions Damage (All Types) +50%
",
guard tower greek,tech,,,,,,300,300,,,40,,,,,,,,,,,,,,,,,"• Increases Tower hitpoints and attack.
• Sentry Tower: All Actions Damage (All Types) +50%
• Sentry Tower: Hitpoints +50%
• Military Camp: All Actions Damage (All Types) +50%
• Machine Workshop: All Actions Damage (All Types) +50%
",
guard tower japanese,tech,,,,,,300,300,,,40,,,,,,,,,,,,,,,,,"• Increases Tower hitpoints and attack.
• Sentry Tower: All Actions Damage (All Types) +50%
• Sentry Tower: Hitpoints +50%
• Military Camp: All Actions Damage (All Types) +50%
• Machine Workshop: All Actions Damage (All Types) +50%
",
guard tower,tech,,,,,,,,,,,,,,,,,,,,,,,,,,,"• Increases Tower hitpoints and attack.
• Sentry Tower: All Actions Damage (All Types) +50%
• Sentry Tower: Hitpoints +50%
• Military Camp: All Actions Damage (All Types) +50%
• Machine Workshop: All Actions Damage (All Types) +50%
",
guardian of io,tech,,,,,50,,200,12,,40,,,,,,,,,,,,,,,,,"• Atlas upgrades Argi to Guardians of lo, increasing their
i] line of sight and the rate at which their special ability
recharges.
• Argus: Ability Recharge Time -25%
• Argus: Adds 10.00 LOS
",
hall of thanes,tech,,,,,,150,,10,,30,,,,,,,,,,,,,,,,,"• Forseti improves the speed of all foot soldiers, especially
Hersirs.
- Infantry: Speed +5%
« Hero: Speed +5%
",
hallowed woodlands,tech,,,,,300,,,20,,40,,,,,,,,,,,,,,,,,"- Hestia upgrades Hamadryads to Sylvan Hamadryads,
(p<,
increasing their survivability and ranged damage.
- Hamadryad: Sets Ability Recharge Time to 6.00
• Hamadryad: Hitpoints +30%
- Hamadryad: Ranged Attack Damage (All Types) +30%
",
halo of the sun,tech,,,,,,,150,20,,40,,,,,,,,,,,,,,,,,"• Helios increases the damage, range and line of sight of
Fire Siphons and Arci.
Fire Siphon: Adds 4.00 to Ranged Attack Maximum Range
Fire Siphon: Adds 4.00 LOS
« Fire Siphon: All Actions Damage (All Types) +20%
• Arcus: Adds 1.00 to Ranged Attack Maximum Range
• Arcus: Adds 1.00 LOS
Arcus: All Actions Damage (All Types) +10%
• Arcus (Hero): Adds 1.00 to Ranged Attack Maximum
Range
• Arcus (Hero): Adds 1.00 LOS
e Arcus (Hero): All Actions Damage (All Types) +10%
",
hamask,tech,,,,,,175,,12,,40,,,,,,,,,,,,,,,,,"• Odin inspires Berserks to move faster and deal additional
damage to myth units.
• Berserk: Speed +10%
• Berserk: Melee Attack Damage Bonus against Myth Unit
•50%
",
hammer of thunder,tech,,,,,,,125,10,,40,,,,,,,,,,,,,,,,,"• Thor causes your Hersirs to inflict additional damage and
generate favor faster.
• Hersir (Hero): Melee Attack Damage (All Types) +15%
• Hersir (Hero): Auto Gather Work Rate for Favor +50%
",
hand axe,tech,,,,,120,,50,,,30,,,,,,,,,,,,,,,,,"• Villagers gather Wood faster and carry more.
• Villager: Gather Work Rate for Wood +10%
• Villager: Adds 5.00 to Wood Carry Capacity
",
hand of talos,tech,,,,,,300,,20,,40,,,,,,,,,,,,,,,,,"• Hephaestus reforges Colossi into Silver Colossi, which
have more hitpoints.
• Colossus: Hitpoints +25%
",
hands of the pharaoh,tech,,,,,,,75,,,20,,,,,,,,,,,,,,,,,"• Allows your Priests to pick up Relics and increases their
attack range.
• Priest (Hero): Adds 2.00 to Ranged Attack Maximum
Range
• Priest (Hero): Adds 2.00 LOS
• Priest (Hero): Enables Pickup Action
",
hannya mask,tech,,,,,200,,,25,,40,,,,,,,,,,,,,,,,,"• Raijin increases infantry hitpoints and causes them to
regenerate hitpoints when in battle.
• Infantry: Lifesteals for 10.00% of damage dealt by All
Actions against a Unit.
« Infantry: Hitpoints +15%
",
heart of the titans,tech,,,,,,,50,5,,20,,,,,,,,,,,,,,,,,"• Prometheus reduces the time required to promote your
human units to heroes.
• Hero Promotion: Research Points -75%
",
heavenly barrage,tech,,,,,,,150,15,,40,,,,,,,,,,,,,,,,,"• Raijin causes Junkozosens to shoot chain lightning that
deals divine damage.
• Junkozosen: Enables Chain Lightning Attack action, which
deals 3 divine damage and chains up to 1 additional target
per projectile.
",
heavy axemen,tech,,,,,300,,200,,,30,,,,,,,,,,,,,,,,,"e Axeman: Adds 1.00 LOS
",
heavy camel riders,tech,,,,,250,,150,,,15,,,,,,,,,,,,,,,,,"• Upgrades Camel Riders to Heavy Camel Riders, with more
hitpoints and attack.
• Camel Rider: Hitpoints +15%
• Camel Rider: Melee Attack Damage (All Types) +15%
« Camel Rider: Adds 1.00 LOS
",
heavy cavalry atlantean,tech,,,,,300,,150,,,30,,,,,,,,,,,,,,,,,"• Upgrades Cavalry to Heavy Cavalry, with more hitpoints
and attack.
• Cavalry: Hitpoints +15%
• Cavalry: Melee Attack Damage (All Types) +15%
• Cavalry: Adds 1.00 LOS
",
heavy cavalry greek,tech,,,,,400,,200,,,30,,,,,,,,,,,,,,,,,"• Upgrades Cavalry to Heavy Cavalry, with more hitpoints
and attack.
• Cavalry: Hitpoints +15%
• Cavalry: Melee Attack Damage (All Types) +15%
• Cavalry: Adds 1.00 LOS
",
heavy cavalry norse,tech,,,,,,,,,,,,,,,,,,,,,,,,,,,"• Upgrades Cavalry to Heavy Cavalry, with more hitpoints
and attack.
• Cavalry: Hitpoints +15%
• Cavalry: Melee Attack Damage (All Types) +15%
• Cavalry: Adds 1.00 LOS
",
heavy chariots,tech,,,,,,200,200,,,15,,,,,,,,,,,,,,,,,"• Upgrades Chariots to Heavy Chariots, with more hitpoints
and attack.
• Chariot Archer: Hitpoints +10%
• Chariot Archer: Ranged Attack Damage (All Types) +15%
• Chariot Archer: Adds 1.00 LOS
",
heavy dojo soldiers,tech,,,,,300,,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Medium Dojo Soldiers to Heavy Dojo Soldiers,
with more hitpoints and attack.
• Samurai: Hitpoints +15%
• Samurai: All Actions Damage (All Types) +15%
• Samurai: Adds 1.00 LOS
• Shinobi: Hitpoints +15%
• Shinobi: All Actions Damage (All Types) +15%
• Shinobi: Adds 1.00 LOS
• Onna-musha (Hero): Hitpoints +15%
• Onna-musha (Hero): All Actions Damage (All Types) +15%
• Onna-musha (Hero): Adds 1.00 LOS
",
heavy great temple soldiers,tech,,,,,300,,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Medium Great Temple Soldiers to Heavy Great
Temple Soldiers, with more hitpoints and attack.
• Otontin Smasher: Hitpoints +15%
« Otontin Smasher: Melee Attack Damage (All Types) +15%
• Otontin Smasher: Adds 1.00 LOS
• Shorn One: Hitpoints +15%
« Shorn One: Melee Attack Damage (All Types) +15%
• Shorn One: Adds 1.00 LOS
• Jaguar Rider: Hitpoints +15%
- Jaguar Rider: Melee Attack Damage (All Types) +15%
- Jaguar Rider: Adds 1.00 LOS
",
heavy guardhouse soldiers,tech,,,,,300,,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Medium Guardhouse Soldiers to Heavy
Guardhouse Soldiers, with more hitpoints and attack.
• Yari Spearman: Hitpoints +15%
• Yari Spearman: Melee Attack Damage (All Types) +15%
• Yari Spearman: Adds 1.00 LOS
• Yumi Archer: Hitpoints +10%
- Yumi Archer: Ranged Attack Damage (All Types) +15%
• Yumi Archer: Adds 1.00 LOS
• Bushi (Hero): Hitpoints +10%
• Bushi (Hero): Ranged Attack Damage (All Types) +15%
• Bushi (Hero): Adds 1.00 LOS
",
heavy infantry atlantean,tech,,,,,300,,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Infantry to Heavy Infantry, with more hitpoints
and attack.
• Infantry: Hitpoints +15%
Infantry: All Actions Damage (All Types) +15%
• Infantry: Adds 1.00 LOS
• Throwing Axeman: Adds 1.00 to Ranged Attack Maximum
Range
",
heavy infantry chinese,tech,,,,,300,,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Infantry to Heavy Infantry, with more hitpoints
and attack.
• Infantry: Hitpoints +15%
• Infantry: All Actions Damage (All Types) •15%
• Infantry: Adds 1.00 LOS
• Throwing Axeman: Adds 1.00 to Ranged Attack Maximum
Range
",
heavy infantry greek,tech,,,,,300,,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Infantry to Heavy Infantry, with more hitpoints
and attack.
• Infantry: Hitpoints +15%
Infantry: All Actions Damage (All Types) +15%
• Infantry: Adds 1.00 LOS
• Throwing Axeman: Adds 1.00 to Ranged Attack Maximum
Range
",
heavy infantry norse,tech,,,,,,,,,,,,,,,,,,,,,,,,,,,"• Upgrades Infantry to Heavy Infantry, with more hitpoints
and attack.
• Infantry: Hitpoints +15%
• Infantry: All Actions Damage (All Types) +15%
• Infantry: Adds 1.00 LOS
• Throwing Axeman: Adds 1.00 to Ranged Attack Maximum
Range
",
heavy noble's hut soldiers,tech,,,,,300,,300,,,30,,,,,,,,,,,,,,,,,"« Upgrades Medium Noble's Hut Soldiers to Heavy Noble's
Hut Soldiers, with more hitpoints and attack.
• Coyote Warrior: Hitpoints +15%
• Coyote Warrior: Melee Attack Damage (All Types) •15%
* Coyote Warrior: Adds 1.00 LOS
• Ocelot! Warrior: Hitpoints +15%
• Ocelotl Warrior: Melee Attack Damage (All Types) +15%
* Ocelot! Warrior: Adds 1.00 LOS
« Eagle Warrior: Hitpoints +10%
« Eagle Warrior: Ranged Attack Damage (All Types) +15%
« Eagle Warrior: Adds 1.00 LOS
",
heavy ranged soldiers atlantean,tech,,,,,,300,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Ranged Soldiers to Heavy Ranged Soldiers, with
more hitpoints and attack.
• Ranged Soldier: Hitpoints +10%
• Ranged Soldier: Ranged Attack Damage (All Types) +15%
• Ranged Soldier: Adds 1.00 LOS
• Peltast: Adds 1.00 to Ranged Attack Maximum Range
• Turma: Adds 1.00 to Ranged Attack Maximum Range
• Turma (Hero): Adds 1.00 to Ranged Attack Maximum
Range
• Wuzu Javelineer: Adds 1.00 to Ranged Attack Maximum
Range
• Fire Archer: Adds 1.00 to Ranged Attack Maximum Range
",
heavy ranged soldiers chinese,tech,,,,,,300,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Ranged Soldiers to Heavy Ranged Soldiers, with
more hitpoints and attack.
• Ranged Soldier: Hitpoints +10%
• Ranged Soldier: Ranged Attack Damage (All Types) +15%
• Ranged Soldier: Adds 1.00 LOS
• Peltast: Adds 1.00 to Ranged Attack Maximum Range
• Turma: Adds 1.00 to Ranged Attack Maximum Range
• Turma (Hero): Adds 1.00 to Ranged Attack Maximum
Range
• Cheiroballista: Adds 1.00 to Ranged Attack Maximum
Range
• Cheiroballista (Hero): Adds 1.00 to Ranged Attack
Maximum Range
• Wuzu Javelineer: Adds 1.00 to Ranged Attack Maximum
Range
• Fire Archer: Adds 1.00 to Ranged Attack Maximum Range
",
heavy ranged soldiers greek,tech,,,,,,300,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Ranged Soldiers to Heavy Ranged Soldiers, with
more hitpoints and attack.
• Ranged Soldier: Hitpoints +10%
• Ranged Soldier: Ranged Attack Damage (All Types) +15%
• Ranged Soldier: Adds 1.00 LOS
• Peltast: Adds 1.00 to Ranged Attack Maximum Range
• Turma: Adds 1.00 to Ranged Attack Maximum Range
• Turma (Hero): Adds 1.00 to Ranged Attack Maximum
Range
• Wuzu Javelineer: Adds 1.00 to Ranged Attack Maximum
Range
• Fire Archer: Adds 1.00 to Ranged Attack Maximum Range
",
heavy slingers,tech,,,,,,300,200,,,30,,,,,,,,,,,,,,,,,"• Upgrades Slingers to Heavy Slingers, with more hitpoints,
attack, and range.
• Slinger: Hitpoints •10%
• Slinger: Ranged Attack Damage (All Types) +15%
Slinger: Adds 1.00 LOS
• Slinger: Adds 1.00 to Ranged Attack Maximum Range
",
heavy spearmen,tech,,,,,300,,200,,,30,,,,,,,,,,,,,,,,,"\
Heavy Spearmen
• Upgrades Spearmen to Heavy Spearmen, with more
hitpoints and attack.
• Spearman: Hitpoints +15%
• Spearman: Melee Attack Damage (All Types) +15%
• Spearman: Adds 1.00 LOS
",
heavy stable soldiers,tech,,,,,400,,200,,,30,,,,,,,,,,,,,,,,,"• Upgrades Medium Stable Soldiers to Heavy Stable
Soldiers, with more hitpoints and attack.
• Naginata Rider: Hitpoints +15%
• Naginata Rider: Melee Attack Damage (All Types) +15%
• Naginata Rider: Adds 1.00 LOS
• Yumi Horse Archer: Hitpoints +10%
• Yumi Horse Archer: Ranged Attack Damage (All Types)
•15%
• Yumi Horse Archer: Adds 1.00 LOS
• Daimyo (Hero): Hitpoints +15%
• Daimyo (Hero): Melee Attack Damage (All Types) +15%
• Daimyo (Hero): Adds 1.00 LOS
",
heavy war elephants,tech,,,,,300,,200,,,15,,,,,,,,,,,,,,,,,"• Upgrades Elephants to Heavy Elephants, with more
hitpoints and attack.
• War Elephant: Hitpoints +15%
• War Elephant: Melee Attack Damage (All Types) +15%
• War Elephant: Adds 1.00 LOS
",
heavy war hut soldiers,tech,,,,,300,,300,,,30,,,,,,,,,,,,,,,,,"• Upgrades Medium War Hut Soldiers to Heavy War Hut
Soldiers, with more hitpoints and attack.
• Tlamanih Spearman: Hitpoints +15%
• Tlamanih Spearman: Melee Attack Damage (All Types)
•15%
* Tlamanih Spearman: Adds 1.00 LOS
• Tequihua Archer: Hitpoints +10%
* Tequihua Archer: Ranged Attack Damage (All Types)
•15%
* Tequihua Archer: Adds 1.00 LOS
",
heavy warships,tech,,,,,,150,150,,,20,,,,,,,,,,,,,,,,,"• Upgrades Warships to Heavy Warships, with more
hitpoints and attack.
• Warship: Hitpoints +15%
• Warship: All Actions Damage (All Types) +15%
",
hephaestus revenge,tech,,,,,,,100,10,,20,,,,,,,,,,,,,,,,,"« Leto improves Automatons to Warrior Automatons, which
have more hitpoints and can regenerate.
• Automaton: Adds 0.50 to Regeneration Rate
• Automaton: Hitpoints +30%
",
herbal medicine,tech,,,,,,,100,5,,40,,,,,,,,,,,,,,,,,"• Shennong teaches Sages to heal faster and restore the
hitpoints of multiple friendly units at once.
• Sage: Can heal up to 3 additional units for 50% of the
strength as the main heal target.
",
heroic fleet,tech,,,,,100,,100,10,,20,,,,,,,,,,,,,,,,,"• The gods make all of your arrow ships better at fighting
myth units.
• Arrow Ship: Adds 2.00 to Ranged Attack Damage Bonus
against Myth Unit
",
heroic renewal,tech,,,,,,,125,15,,40,,,,,,,,,,,,,,,,,"• Hyperion increases your heroes’ hitpoints and lets them
regenerate.
• Hero: Adds 1.50 to Regeneration Rate
• Hero: Hitpoints +10%
",
hieracosphinx,tech,,,,,,150,,10,,30,,,,,,,,,,,,,,,,,"• Bast upgrades Criosphinxes to Hieracosphinxes, with
increased speed and attack.
• Sphinx: Speed +10%
• Sphinx: Melee Attack Damage (Hack) +20%
• Sphinx: Melee Attack Damage (Crush) +50%
",
hooves of the wind,tech,,,,,,225,,20,,40,,,,,,,,,,,,,,,,,"• Goumang imbues your cavalry with the power of the
wind, increasing their speed and hack armor.
• Cavalry: Vulnerability to Hack attacks -10%
« Cavalry: Speed +10%
",
horns of consecration,tech,,,,,,,150,20,,40,,,,,,,,,,,,,,,,,"• Rheia gifts your Fanatics her blessing, enabling them to
be trained an age early and train faster.
• Fanatic enabled
• Fanatic: Train time -20%
",
hunter's strength,tech,,,,,,150,,12,,30,,,,,,,,,,,,,,,,,"• Minakatatomi enhances your archers’ bows, increasing
their range and damage.
• Ranged Soldier: All Actions Damage (All Types) +10%
• Ranged Soldier: Adds 1.00 to Ranged Attack Maximum
Range
",
huntress' axe,tech,,,,,,,150,20,,40,,,,,,,,,,,,,,,,,"• Skadi blesses Throwing Axeman with the Huntress’ Axe,
improving their range and ensuring that they never miss.
• Throwing Axeman: Adds 1.00 to Ranged Attack Maximum
Range
• Throwing Axeman: Sets Track Rating to 99.00
",
husbandry,tech,,,,,,100,50,,,30,,,,,,,,,,,,,,,,,"Livestock animals fatten faster and Villagers gather from
them and Chickens more quickly. Villagers carry more Food.
• Herdable: Auto Gather Work Rate for Food +25%
• Villager: Adds 15.00 to Food Carry Capacity
• Villager: Gather Work Rate for Herdable +10%
",
imperial order,tech,,,,,300,,,15,,30,,,,,,,,,,,,,,,,,"• Huangdi calls forth all fighting men, decreasing the cost
of Military Camps and their units.
• Dao Swordsman: Food cost -20%
• Dao Swordsman: Gold cost -20%
• Ge Halberdier: Food cost -20%
• Ge Halberdier: Gold cost -20%
• Wuzu Javelineer: Wood cost -20%
• Wuzu Javelineer: Gold cost -20%
• Military Camp: Wood cost -20%
• Military Camp: Gold cost -20%
• Military Camp Socket: Food cost -20%
• Military Camp Socket: Wood cost -20%
• Military Camp Socket: Gold cost -20%
",
iron armor,tech,,,,,400,,400,,,50,,,,,,,,,,,,,,,,,"• Iron armor improves human soldier, hero, and ship
resistance to hack attacks, such as swords. It also makes
ships more resistant to crush attacks, such as siege weapons.
• Human Soldier: Vulnerability to Hack attacks -10%
• Hero: Vulnerability to Hack attacks -15%
• Ship: Vulnerability to Hack attacks -10%
• Ship: Vulnerability to Crush attacks -10%
",
iron grip,tech,,,,,150,150,,20,,30,,,,,,,,,,,,,,,,,"• Demeter upgrades Harpies to Nephelean Harpies, which
are faster, can carry units for longer and can drop them at
will.
- Harpy: Speed +10%
• Harpy: Abduct duration +25%
",
iron shields,tech,,,,,,400,350,,,50,,,,,,,,,,,,,,,,,"• Iron shields improve human soldier, hero, and ship
resistance to pierce attacks, such as arrows.
• Human Soldier: Vulnerability to Pierce attacks -10%
• Hero: Vulnerability to Pierce attacks -15%
• Ship: Vulnerability to Pierce attacks -10%
",
iron wall atlantean,tech,,,,,600,,450,,,50,,,,,,,,,,,,,,,,,"| ° Upgrades Walls to Iron Walls, which have more hitpoints
| and line of sight.
• Wall: Hitpoints +100%
e Wall: Adds 2.00 LOS
",
iron weapons,tech,,,,,450,,450,,,50,,,,,,,,,,,,,,,,,"• Iron weapons improve the attack of all human soldiers,
heroes, ships, and buildings.
• Human Soldier: All Actions Damage (All Types) +10%
• Hero: All Actions Damage (All Types) +10%
• Ship: All Actions Damage (All Types) +10%
• Building: All Actions Damage (All Types) +10%
",
irrigation,tech,,,,,,150,250,,,30,,,,,,,,,,,,,,,,,"* Villagers gather Food from Farms faster.
• Villager: Gather Work Rate for Farm +10%
",
ivory netsuke,tech,,,,,,,150,14,,30,,,,,,,,,,,,,,,,,"• Inari Okami causes myth units to generate gold when
attacking enemy units.
• Player: Add 0.50 Gold to Myth Unit Bounty earning
reward
",
jade weapons,tech,,,,,200,,200,,,40,,,,,,,,,,,,,,,,,"« Jade Weapons improve the attack of all human soldiers,
heroes, ships, and buildings.
« Human Soldier: All Actions Damage (All Types) +10%
* Hero: All Actions Damage (All Types) +10%
• Ship: All Actions Damage (All Types) +10%
• Building: All Actions Damage (All Types) +10%
",
jotuns,tech,,,,,175,,,30,,40,,,,,,,,,,,,,,,,,"• Njord upgrades Mountain Giants to Jotuns, which are
larger, stronger, and significantly more effective against
human soldiers.
• Mountain Giant: Hitpoints +20%
• Mountain Giant: Melee Attack Damage (All Types) +25%
• Mountain Giant: Speed +25%
• Mountain Giant: Enables Punt Action
",
kagura,tech,,,,,60,,,5,,20,,,,,,,,,,,,,,,,,"• Amaterasu summons a new Miko, and allows your Mikos
to train and heal faster.
• Miko (Hero): Heal Work Rate for Unit +25%
• Miko (Hero): Train time -25%
",
katagi,tech,,,,,,,125,15,,30,,,,,,,,,,,,,,,,,"• Ame-no-Uzume increases infantry hitpoints and causes
fallen infantry to contribute to your Bushid6.
• Infantry: Hitpoints +10%
• Infantry: Adds 75.00 to on death Bushidé XP
",
kuafu chieftain,tech,,,,,150,,,15,,40,,,,,,,,,,,,,,,,,"• Niwa creates a Kuafu chieftain, a powerful hero Kuafu
who respawns when lost.
",
kumiki,tech,,,,,,100,50,10,,20,,,,,,,,,,,,,,,,,"• Minakatatomi reduces the cost of archers and siege units.
• Ranged Soldier: Wood cost -10%
• Ranged Soldier: Gold cost -10%
• Siege Weapon: Wood cost -15%
• Siege Weapon: Gold cost -15%
",
labyrinth of minos,tech,,,,,,250,,20,,30,,,,,,,,,,,,,,,,,"• Minotaur: Speed +15%
• Minotaur: Hitpoints +30%
",
lance of stone,tech,,,,,,,100,12,,40,,,,,,,,,,,,,,,,,"• Theia improves the attack of Contarii and causes their
attacks to slow down enemies even more.
• Contarius: Melee Attack Damage (All Types) +15%
• Contarius (Hero): Melee Attack Damage (All Types) +15%
• Contarius: Melee Attack ensnares All for 70.00% of their
speed for 2.00 seconds.
• Contarius (Hero): Melee Attack ensnares All for 70.00% of
their speed for 2.00 seconds.
",
last stand,tech,,,,,300,,,15,,40,,,,,,,,,,,,,,,,,"• Gonggong emboldens your cavalry units in the face of
defeat, increasing their armor as they lose hitpoints.
• Cavalry: For every 1% HP missing, modify Hack Armor by
0.30%.
• Cavalry: For every 1% HP missing, modify Pierce Armor by
0.30%.
",
leather frame shield,tech,,,,,,75,,10,,40,,,,,,,,,,,,,,,,,"• Ptah's invention improves the pierce armor of Spearmen.
• Spearman: Vulnerability to Pierce attacks -15%
",
leizu's silk,tech,,,,,,300,,30,,40,,,,,,,,,,,,,,,,,"• Huangdi gifts you his wife's divine silk, improving all
human units’ hitpoints and hack armor.
• Villager: Hitpoints +10%
• Human Soldier: Hitpoints +10%
• Villager: Vulnerability to Hack attacks -10%
• Human Soldier: Vulnerability to Hack attacks -10%
",
levy baolei soldiers,tech,,,,,,,150,,,20,,,,,,,,,,,,,,,,,"- Baolei units train faster.
• White Horse Cavalry: Train time -20%
• Tiger Cavalry: Train time -20%
",
levy barracks soldiers,tech,,,,,150,75,,,,20,,,,,,,,,,,,,,,,,"• Barracks units train faster.
• Spearman: Train time -20%
• Axeman: Train time -20%
• Slinger: Train time -20%
",
levy cavalry greek,tech,,,,,,,,,,,,,,,,,,,,,,,,,,,"• Cavalry train faster.
• Cavalry: Train time -20%
",
levy counter soldiers,tech,,,,,75,150,,,,20,,,,,,,,,,,,,,,,,"• Counter Barracks units train faster.
• Katapeltes: Train time -20%
• Turma: Train time -20%
• Cheiroballista: Train time -20%
",
levy dojo soldiers,tech,,,,,225,,,,,20,,,,,,,,,,,,,,,,,"• Dojo units train faster.
• Samurai: Train time -20%
• Shinobi: Train time -20%
• Onna-musha (Hero): Train time -20%
",
